record_t,record_d,widget_count,times
5000,50000,30001,0.7026989459991455
5000,60000,30001,0.6990048885345459
5000,70000,30001,0.7059500217437744
5000,80000,30001,0.7020747661590576
5000,90000,30001,0.7087690830230713
5000,100000,30001,0.7000200748443604
10000,50000,30001,0.7031199932098389
10000,60000,30001,0.705610990524292
10000,70000,30001,0.7039663791656494
10000,80000,30001,0.6979420185089111
10000,90000,30001,0.7003777027130127
10000,100000,30001,0.6973061561584473
15000,50000,30001,0.7108268737792969
15000,60000,30001,0.7017018795013428
15000,70000,30001,0.7059469223022461
15000,80000,30001,0.6994578838348389
15000,90000,30001,0.698479175567627
15000,100000,30001,0.6977672576904297
20000,50000,30001,0.6989548206329346
20000,60000,30001,0.6997168064117432
20000,70000,30001,0.6956219673156738
20000,80000,30001,0.696890115737915
20000,90000,30001,0.6987929344177246
20000,100000,30001,0.7010338306427002
25000,50000,30001,0.694425106048584
25000,60000,30001,0.6956832408905029
25000,70000,30001,0.69651198387146
25000,80000,30001,0.6984858512878418
25000,90000,30001,0.6959149837493896
25000,100000,30001,0.6968121528625488
30000,50000,30002,0.6974759101867676
30000,60000,30002,0.6964571475982666
30000,70000,30002,0.696112871170044
30000,80000,30002,0.7008152008056641
30000,90000,30002,0.6973221302032471
30000,100000,30002,0.6973662376403809
35000,50000,28334,0.6942551136016846
35000,60000,28334,0.7023930549621582
35000,70000,28334,0.6957437992095947
35000,80000,28334,0.6944770812988281
35000,90000,28334,0.6973569393157959
35000,100000,28334,0.6948962211608887
40000,50000,26668,0.7001652717590332
40000,60000,26668,0.6935710906982422
40000,70000,26668,0.6940619945526123
40000,80000,26668,0.6953830718994141
40000,90000,26668,0.6944336891174316
40000,100000,26668,0.6975827217102051
45000,50000,25002,0.694270133972168
45000,60000,25002,0.6928341388702393
45000,70000,25002,0.6951348781585693
45000,80000,25002,0.6951050758361816
45000,90000,25002,0.7022778987884521
45000,100000,25002,0.6960840225219727
50000,50000,23334,0.6964249610900879
50000,60000,23334,0.705388069152832
50000,70000,23334,0.6960370540618896
50000,80000,23334,0.6963686943054199
50000,90000,23334,0.6969540119171143
50000,100000,23334,0.6948249340057373
55000,50000,21668,0.6916012763977051
55000,60000,21668,0.6971230506896973
55000,70000,21668,0.6959061622619629
55000,80000,21668,0.6967496871948242
55000,90000,21668,0.7015030384063721
55000,100000,21668,0.6995410919189453
60000,50000,20002,0.6943480968475342
60000,60000,20002,0.6928329467773438
60000,70000,20002,0.6926090717315674
60000,80000,20002,0.6920409202575684
60000,90000,20002,0.6940963268280029
60000,100000,20002,0.694040060043335
65000,50000,18334,0.6932327747344971
65000,60000,18334,0.6916038990020752
65000,70000,18334,0.6931507587432861
65000,80000,18334,0.6917791366577148
65000,90000,18334,0.6900558471679688
65000,100000,18334,0.6899228096008301
70000,50000,16668,0.6917288303375244
70000,60000,16668,0.6922481060028076
70000,70000,16668,0.6936278343200684
70000,80000,16668,0.6888198852539062
70000,90000,16668,0.6965610980987549
70000,100000,16668,0.6988658905029297
75000,50000,15002,0.7002391815185547
75000,60000,15002,0.7041192054748535
75000,70000,15002,0.7069549560546875
75000,80000,15002,0.7061161994934082
75000,90000,15002,0.7040669918060303
75000,100000,15002,0.6959710121154785
80000,50000,13334,0.6981191635131836
80000,60000,13334,0.6954338550567627
80000,70000,13334,0.692296028137207
80000,80000,13334,0.6895301342010498
80000,90000,13334,0.69492506980896
80000,100000,13334,0.6996927261352539
85000,50000,11668,0.6930501461029053
85000,60000,11668,0.6963088512420654
85000,70000,11668,0.6992800235748291
85000,80000,11668,0.6989178657531738
85000,90000,11668,0.6921360492706299
85000,100000,11668,0.6922590732574463
90000,50000,10002,0.7034718990325928
90000,60000,10002,0.6974067687988281
90000,70000,10002,0.6966719627380371
90000,80000,10002,0.695796012878418
90000,90000,10002,0.6929342746734619
90000,100000,10002,0.7021768093109131
95000,50000,8334,0.6951608657836914
95000,60000,8334,0.6964800357818604
95000,70000,8334,0.6908209323883057
95000,80000,8334,0.6920619010925293
95000,90000,8334,0.696120023727417
95000,100000,8334,0.701909065246582
